Date,Open,High,Low,Close,Adj Close,Volume
2013-12-13,8469.900390625,8533.2900390625,8442.7900390625,8456.4404296875,8456.4404296875,0
2013-12-16,8456.580078125,8554.8896484375,8456.580078125,8506.0302734375,8506.0302734375,0
2013-12-17,8505.98046875,8552.3798828125,8459.76953125,8472.150390625,8472.150390625,0
2013-12-18,8473.6103515625,8559.6904296875,8473.6103515625,8508.6396484375,8508.6396484375,0
2013-12-19,8509.0498046875,8612.849609375,8509.0498046875,8555.2998046875,8555.2998046875,0
2013-12-20,8659.919921875,8664.76953125,8572.8203125,8596.509765625,8596.509765625,0
2013-12-23,8596.8095703125,8664.7197265625,8596.8095703125,8620.58984375,8620.58984375,0
2013-12-26,8620.6298828125,8659.58984375,8606.8203125,8606.8203125,8606.8203125,0
2013-12-27,8610.1796875,8661.009765625,8604.41015625,8642.330078125,8642.330078125,0
2013-12-30,8644.8701171875,8760.76953125,8644.8701171875,8695.33984375,8695.33984375,0
2014-01-02,8696.4404296875,8721.7802734375,8565.58984375,8581.58984375,8581.58984375,0
2014-01-03,8583.849609375,8589.0595703125,8495.9296875,8512.2900390625,8512.2900390625,0
2014-01-06,8512.1904296875,8526.240234375,8435.0595703125,8523.73046875,8523.73046875,0
2014-01-07,8524.5498046875,8622.8603515625,8457.2998046875,8457.83984375,8457.83984375,0
2014-01-08,8458.0400390625,8510.91015625,8458.0400390625,8487.51953125,8487.51953125,0
2014-01-09,8487.3203125,8487.3203125,8259.0595703125,8268.3203125,8268.3203125,0
2014-01-10,8268.3203125,8397.1396484375,8260.48046875,8322.1796875,8322.1796875,0
2014-01-13,8324.6201171875,8374.5,8254.6298828125,8269.3896484375,8269.3896484375,0
2014-01-14,8268.51953125,8341.4501953125,8241.26953125,8320.080078125,8320.080078125,0
2014-01-15,8322.5302734375,8401.16015625,8322.5302734375,8380.240234375,8380.240234375,0
2014-01-16,8380.58984375,8458.150390625,8291.4501953125,8301.48046875,8301.48046875,0
2014-01-17,8301.48046875,8330.8203125,8208.580078125,8209.1396484375,8209.1396484375,0
2014-01-20,8209.0498046875,8230.1103515625,8129.580078125,8136.43017578125,8136.43017578125,0
2014-01-21,8140.5,8220.73046875,8108.9501953125,8124.35009765625,8124.35009765625,0
2014-01-22,8124.72998046875,8275.2099609375,8124.72998046875,8246.919921875,8246.919921875,0
2014-01-23,8245.48046875,8297.5703125,8071.419921875,8071.419921875,8071.419921875,0
2014-01-24,8072.52978515625,8079.14013671875,7940.64990234375,7986.81005859375,7986.81005859375,0
2014-01-27,7985.93994140625,8047.66015625,7938.52001953125,7969.02978515625,7969.02978515625,0
2014-01-28,7979.080078125,8106.35009765625,7979.080078125,7995.64013671875,7995.64013671875,0
2014-01-29,7995.47021484375,8013.60009765625,7882.77001953125,7953.56005859375,7953.56005859375,0
2014-01-30,7952.66015625,8034.39013671875,7876.5400390625,7905.06982421875,7905.06982421875,0
2014-01-31,7902.89990234375,7986.27001953125,7828.68994140625,7982.4501953125,7982.4501953125,0
2014-02-03,7978.990234375,7978.990234375,7720.9501953125,7729.27978515625,7729.27978515625,0
2014-02-04,7730.240234375,7908.8701171875,7728.990234375,7877.7998046875,7877.7998046875,0
2014-02-05,7877.7998046875,7905.52978515625,7746.06982421875,7817.93994140625,7817.93994140625,0
2014-02-06,7879.72998046875,8056.9599609375,7819.31982421875,8011.81005859375,8011.81005859375,0
2014-02-07,8011.6298828125,8101.39990234375,7962.66015625,8067.9599609375,8067.9599609375,0
2014-02-10,8066.35009765625,8079.72998046875,7966.2998046875,8011.14013671875,8011.14013671875,0
2014-02-11,8012.080078125,8158.02001953125,7982.97021484375,8140.60986328125,8140.60986328125,0
2014-02-12,8141.25,8173.72998046875,8065.0400390625,8092.0,8092.0,0
2014-02-13,8091.1298828125,8091.1298828125,7916.58984375,8036.16015625,8036.16015625,0
2014-02-14,8039.7001953125,8118.0498046875,8022.06005859375,8104.18017578125,8104.18017578125,0
2014-02-18,8011.75,8048.68017578125,7877.27978515625,7877.27978515625,7877.27978515625,0
2014-02-19,7876.91015625,7967.27978515625,7794.4599609375,7967.27978515625,7967.27978515625,0
2014-02-20,7962.3701171875,8028.25,7878.1298828125,7974.39013671875,7974.39013671875,0
2014-02-21,7974.52978515625,8067.14990234375,7943.10009765625,7996.10986328125,7996.10986328125,0
2014-02-24,7995.0498046875,8033.0,7929.41015625,8003.6298828125,8003.6298828125,0
2014-02-25,8002.68017578125,8002.68017578125,7878.22021484375,7893.33984375,7893.33984375,0
2014-02-26,7896.009765625,7948.72021484375,7851.52001953125,7878.7900390625,7878.7900390625,0
2014-02-27,7883.43017578125,8071.330078125,7883.43017578125,8035.27978515625,8035.27978515625,0
2014-02-28,8036.7099609375,8069.7099609375,7951.47021484375,7971.02001953125,7971.02001953125,0
2014-03-05,7970.68017578125,7978.7900390625,7868.490234375,7892.66015625,7892.66015625,0
2014-03-06,7892.8701171875,8027.77001953125,7876.77978515625,7981.509765625,7981.509765625,0
2014-03-07,7984.22998046875,8002.7900390625,7831.60986328125,7854.06005859375,7854.06005859375,0
2014-03-10,7853.10009765625,7853.10009765625,7688.81982421875,7747.2998046875,7747.2998046875,0
2014-03-11,7747.2998046875,7827.64013671875,7721.14013671875,7771.419921875,7771.419921875,0
2014-03-12,7769.22998046875,7802.22021484375,7736.3701171875,7789.2900390625,7789.2900390625,0
2014-03-13,7789.4501953125,7839.33984375,7671.14013671875,7698.39990234375,7698.39990234375,0
2014-03-14,7698.5,7717.240234375,7605.68017578125,7615.14013671875,7615.14013671875,0
2014-03-17,7617.8701171875,7713.14013671875,7617.8701171875,7667.7001953125,7667.7001953125,0
